,Train_set,Test_set,Model name,Split,N_actives_train,N_actives_test,N_mols_train,Num_mols_test,Mean-CV-ROC,ROC-AUC_train,ROC-AUC_test,best_params,DkS_max_ROC_train,DkSc_med_ROC_train,DkSc_mean_ROC_train,DkS_max_ROC_test,DkSc_med_ROC_test,DkSc_mean_ROC_test
0,DEKOIS,DEKOIS,LinearSVC,random,929,30,310,10,0.8575408648872335,0.9932146829810901,0.8380000000000001,{'C': 0.0001},0.8219132369299221,0.7083982202447163,0.7069960265413756,0.8351666666666666,0.6491666666666667,0.6567081260364842
1,DEKOIS,DEKOIS,LinearSVC,scaffold,899,30,340,10,0.8219409563041215,0.9675105485232067,0.8387878787878789,{'C': 0.0001},0.8286919831223629,0.7333812811660914,0.7318571125958241,0.8083333333333332,0.5959090909090909,0.5960545756068144
2,DEKOIS,DEKOIS,rbfSVC,random,929,30,310,10,0.848583695427271,0.9764923989618095,0.8376666666666667,"{'C': 100.0, 'gamma': 1e-06}",0.814349276974416,0.7066740823136819,0.7036648883871336,0.8153333333333334,0.6655,0.668252487562189
3,DEKOIS,DEKOIS,rbfSVC,scaffold,899,30,340,10,0.82825725865391,0.955849635596471,0.8730303030303029,"{'C': 100.0, 'gamma': 1e-08}",0.8286919831223629,0.7333812811660914,0.7318571125958241,0.8083333333333332,0.5959090909090909,0.5960545756068144
4,DEKOIS,DEKOIS,LogReg,random,929,30,310,10,0.8710500724187875,0.9600296625880609,0.8363333333333334,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8088616981831666,0.6879866518353726,0.6878097001090211,0.8290000000000001,0.71775,0.7167699004975123
5,DEKOIS,DEKOIS,LogReg,scaffold,899,30,340,10,0.8319613314729917,0.9348293057153817,0.8251515151515152,"{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8286919831223629,0.7333812811660914,0.7318571125958241,0.8083333333333332,0.5959090909090909,0.5960545756068144
6,DEKOIS,DEKOIS,kNN,random,929,30,310,10,0.7724270639354438,0.7710975157582499,0.7318333333333333,"{'n_neighbors': 225, 'p': 1}",0.778197997775306,0.6923618835743419,0.6925951905286324,0.8835,0.7024166666666667,0.7022980928689885
7,DEKOIS,DEKOIS,kNN,scaffold,899,30,340,10,0.812489203375191,0.82777138473341,0.6363636363636364,"{'n_neighbors': 125, 'p': 2}",0.8286919831223629,0.7333812811660914,0.7318571125958241,0.8083333333333332,0.5959090909090909,0.5960545756068144
8,DEKOIS,DEKOIS,DTree,random,929,30,310,10,0.7074953445065176,0.7614942528735633,0.7120000000000001,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.3}",0.800203930292918,0.6870596959584724,0.6865507003359177,0.8946666666666667,0.7218333333333333,0.7258843283582089
9,DEKOIS,DEKOIS,DTree,scaffold,899,30,340,10,0.7427147697827388,0.9121787495205217,0.6472727272727272,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 0.25}",0.8286919831223629,0.7333812811660914,0.7318571125958241,0.8083333333333332,0.5959090909090909,0.5960545756068144
10,DEKOIS,DEKOIS,RandForest,random,929,30,310,10,0.740425201738051,0.8165368928439006,0.8116666666666666,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 0.2, 'n_estimators': 500}",0.7732480533926585,0.682350760103819,0.6822407705632018,0.886,0.7458333333333333,0.7368333333333333
11,DEKOIS,DEKOIS,RandForest,scaffold,899,30,340,10,0.7833931300245831,0.8413693901035674,0.6618181818181819,"{'max_depth': 2, 'max_features': 'log2', 'min_samples_leaf': 0.2, 'n_estimators': 300}",0.8286919831223629,0.7333812811660914,0.7318571125958241,0.8083333333333332,0.5959090909090909,0.5960545756068144
12,DUD,DUD,LinearSVC,random,1368,43,457,15,0.9622746331236897,1.0,0.890497737556561,{'C': 1.0},0.6926195699868363,0.5987275120666959,0.581036655249422,0.6529411764705882,0.535369532428356,0.5326863045256373
13,DUD,DUD,LinearSVC,scaffold,1325,43,500,15,0.9080864272589709,1.0,0.8941580756013745,{'C': 1.0},0.6441969306679243,0.528752312883213,0.5166633183897297,0.84659793814433,0.7390721649484536,0.7202785043852901
14,DUD,DUD,rbfSVC,random,1368,43,457,15,0.9543186582809223,0.9999824484422992,0.980844645550528,"{'C': 100.0, 'gamma': 0.0001}",0.6603422553751646,0.5521588415971918,0.5382019476989777,0.7950226244343892,0.6731900452488688,0.6563248988841615
15,DUD,DUD,rbfSVC,scaffold,1325,43,500,15,0.9153990353437095,0.9999818597395059,0.9180756013745704,"{'C': 100.0, 'gamma': 0.0001}",0.6441969306679243,0.528752312883213,0.5166633183897297,0.84659793814433,0.7390721649484536,0.7202785043852901
16,DUD,DUD,LogReg,random,1368,43,457,15,0.9502410901467506,1.0,0.9778280542986425,"{'C': 100.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6506450197455025,0.5574286967968407,0.5456279811997494,0.7582202111613876,0.6463423831070889,0.634558917328891
